PAPEL,COTACAO,P/L,P/VP,PSR,DIV_YIELD,P/ATIVO,P/CAP_GIRO,P/EBIT,P/ATIV_CIRC_LIQ,EV/EBIT,EV/EBITDA,MRG_EBIT,MRG_LIQ,LIQ_CORR,ROIC,ROE,LIQ_2MESES,PATRIM_LIQ,DIV_BRUT/PATRIM,CRESC_REC_5A
RRRP3,"33,96","-7.602,28","1,67","9,453","0,00%","1,262","3,21","27,67","4,79","17,77","12,08","34,17%","2,20%","4,79","8,60%","-0,02%","198.165.000,00","4.107.890.000,00","0,01","256,32%"
GNDI3,"66,95","-3.584,82","5,84","3,423","2,81%","2,378","79,65","87,05","-6,21","91,13","50,88","3,93%","-0,09%","1,17","3,09%","-0,16%","280.278.000,00","7.116.080.000,00","0,53","25,23%"
AALR3,"17,90","-376,44","1,80","1,863","0,00%",833,"-21,12","22,50","-2,51","29,41","12,95","8,28%","0,17%","0,83","4,02%","-0,48%","9.832.420,00","1.175.290.000,00","0,66","-0,42%"
DASA3,"22,03","-340,88","1,66","1,238","1,34%",672,"15,11","78,34","-2,35","98,39","14,70","1,58%","-0,26%","1,17","1,04%","-0,49%","16.301.300,00","7.418.660.000,00","0,72","30,37%"
CASH3,"2,02","-338,85","2,27","7,791","0,29%","1,965","2,75","-178,61","3,10","-116,04","-175,74","-4,36%","-1,15%","21,09","-3,63%","-0,67%","114.453.000,00","713.849.000,00","0,00","0,00%"
GEPA4,"28,90","-310,13","1,43","2,026","10,17%",688,"-4,71","15,80","-1,66","22,21","10,59","12,83%","-0,65%","0,42","5,34%","-0,46%","18.896,50","1.907.660.000,00","0,68","-0,57%"
GEPA3,"28,00","-300,47","1,39","1,963","10,50%",667,"-4,56","15,30","-1,61","21,72","10,36","12,83%","-0,65%","0,42","5,34%","-0,46%","6.217,20","1.907.660.000,00","0,68","-0,57%"
RCSL3,"3,23","-149,79","-5,98","4,112","0,00%","3,699","54,83","294,36","-3,35","288,94","140,42","1,40%","-2,75%","1,15","1,38%","3,99%","17.699.900,00","-40.976.000,00","-0,00","433,01%"
MAPT4,"21,51","-114,93","-3,35",0,"0,00%","25,573","-4.941,92","-130,91","-2,96","-130,91","-130,91","0,00%","0,00%","0,00","-19,64%","2,92%","315,07","-5.898.000,00","0,00","0,00%"
SEQL3,"10,56","-82,55","2,45",970,"0,00%",744,"11,64","104,31","-2,00","139,62","13,29","0,93%","-1,17%","1,25","0,86%","-2,97%","36.201.200,00","600.831.000,00","1,11","69,81%"
NORD3,"10,08","-67,14","-0,47","33,707","0,00%","3,802","-1,44","-63,80","-0,43","-99,76","-99,76","-52,83%","-50,20%","0,03","-6,16%","0,71%","10.128,60","-140.887.000,00","-0,27","46,63%"
FRTA3,"4,66","-62,55","-0,15",552,"0,00%",282,"-0,12","-35,31","-0,10","-261,65","-261,65","-1,56%","-0,88%","0,06","-0,96%","0,24%","7.751,85","-64.752.000,00","-0,96","-27,76%"
ELMD3,"13,26","-49,15","2,47","5,335","0,00%","1,190","4,78","-61,67","-15,48","-62,18","47,54","-8,65%","-10,85%","2,29","-3,34%","-5,03%","2.331.620,00","750.727.000,00","0,79","0,00%"
RCSL4,"0,92","-42,66","-1,70","1,171","0,00%","1,054","15,62","83,84","-0,95","78,42","38,11","1,40%","-2,75%","1,15","1,38%","3,99%","1.107.820,00","-40.976.000,00","-0,00","433,01%"
EMBR3,"14,29","-38,50","0,71",467,"0,00%",187,"0,62","7,11","-1,26","12,57","7,20","6,57%","-1,18%","2,08","3,77%","-1,85%","200.445.000,00","14.887.100.000,00","1,51","4,41%"
ORVR3,"25,81","-28,33","4,93","4,813","0,00%","1,995","12,53","36,51","-10,90","41,64","21,07","13,18%","-8,88%","1,66","5,65%","-17,39%","13.410.500,00","374.300.000,00","0,71","0,00%"
OPCT3,"3,10","-20,53","0,70",932,"0,00%",310,"1,74","235,34","-1,44","384,48","8,92","0,40%","-1,76%","2,06","0,18%","-3,43%","3.243.740,00","880.290.000,00","0,98","0,00%"
TXRX3,"27,66","-19,86","-0,38",792,"0,00%",552,"-0,44","3,97","-0,27","12,51","10,70","19,93%","-3,99%","0,26","20,57%","1,91%","506,49","-311.100.000,00","-0,81","15,22%"
DTCY3,"7,80","-19,64","55,80","8,022","0,00%","4,618","-31,98","-37,14","-8,33","-36,95","46,20","-21,60%","-40,85%","0,72","-14,31%","-284,13%","2.722,90","1.556.000,00","1,21","-8,50%"
HBSA3,"2,81","-18,58","1,50","1,655","0,00%",346,"4,50","10,89","-0,57","31,49","12,28","15,20%","-8,91%","1,92","3,47%","-8,05%","8.115.700,00","1.427.680.000,00","3,10","36,31%"
VIIA3,"3,32","-17,87","0,94",172,"0,00%",150,"-24,91","4,70","-0,47","11,47","6,10","3,65%","-0,96%","0,99","4,37%","-5,27%","243.468.000,00","5.637.000.000,00","1,67","4,50%"
SMFT3,"18,85","-17,41","2,51","6,474","0,00%",948,"4,03","-31,75","-3,62","-31,37","24,65","-20,39%","-37,09%","2,92","-4,50%","-14,43%","25.112.700,00","4.396.510.000,00","0,82","18,96%"
TELB3,"35,63","-16,83","1,67","9,027","0,00%",601,"2,21","-7,00","-1,92","-4,92","-18,15","-129,01%","-53,64%","5,93","-11,43%","-9,94%","7.948,12","1.445.520.000,00","0,16","70,12%"
TCNO3,"1,52","-15,87","-17,41",0,"0,00%",43,"-0,10","-4,68","-0,05","-20,40","-24,64","0,00%","0,00%","0,29","-1,24%","109,69%","25.378,80","-578.000,00","-58,53","53,01%"
BIOM3,"13,11","-12,98","6,78","9,266","0,00%","2,499","12,46","-16,68","-11,24","-18,80","-19,02","-55,55%","-71,41%","1,96","-18,71%","-52,27%","101.552,00","142.109.000,00","1,25","596,49%"
TCNO4,"1,22","-12,74","-13,97",0,"0,00%",34,"-0,08","-3,75","-0,04","-19,48","-23,53","0,00%","0,00%","0,29","-1,24%","109,69%","50.149,10","-578.000,00","-58,53","53,01%"
HBRE3,"6,50","-12,10","0,38","8,401","0,00%",196,"2,15","9,69","-0,87","16,30","16,16","86,67%","-78,29%","2,12","2,42%","-3,14%","263.766,00","1.767.560.000,00","0,57","0,00%"
AMAR3,"2,71","-9,88","0,71",281,"0,00%",207,"2,04","2,35","-1,10","6,32","3,30","11,97%","-2,84%","1,24","11,28%","-7,18%","19.414.400,00","999.524.000,00","1,46","-5,03%"
MSPA3,"50,01","-9,85","0,39","2,222","0,00%",221,"5,41","-10,80","-0,65","-13,46","-123,08","-20,58%","-22,55%","1,80","-2,18%","-3,95%","600,02","823.503.000,00","0,18","-3,46%"
MEAL3,"2,67","-9,76","0,66",465,"0,00%",257,"2,16","-10,91","-0,74","-13,37","8,61","-4,26%","-4,76%","1,81","-3,11%","-6,76%","4.009.020,00","1.158.050.000,00","0,61","-0,48%"
MSPA4,"47,00","-9,26","0,37","2,088","0,00%",208,"5,09","-10,15","-0,61","-12,81","-117,14","-20,58%","-22,55%","1,80","-2,18%","-3,95%","563,37","823.503.000,00","0,18","-3,46%"
WEST3,"2,04","-7,31","0,57",740,"0,00%",426,"0,71","-3,95","0,82","0,90","0,90","-18,73%","-10,13%","4,48","-34,00%","-7,75%","2.282.160,00","396.627.000,00","0,09","0,00%"
ECPR4,"90,36","-7,18","1,20",0,"0,00%",622,"604,52","-74,35","-1,31","-74,15","-74,22","0,00%","0,00%","1,24","-0,84%","-16,68%","1.759,17","143.369.000,00","0,00","0,00%"
ECPR3,"90,25","-7,17","1,20",0,"0,00%",621,"603,79","-74,26","-1,31","-74,06","-74,13","0,00%","0,00%","1,24","-0,84%","-16,68%","660,37","143.369.000,00","0,00","0,00%"
BKBR3,"6,45","-6,49","1,13",645,"0,00%",466,"33,93","-10,29","-1,24","-12,25","10,38","-6,27%","-9,95%","1,07","-5,54%","-17,41%","16.895.100,00","1.572.720.000,00","0,50","8,55%"
TELB4,"12,80","-6,05","0,60","3,243","0,00%",216,"0,79","-2,51","-0,69","-0,44","-1,63","-129,01%","-53,64%","5,93","-11,43%","-9,94%","83.777,50","1.445.520.000,00","0,16","70,12%"
MBLY3,"5,00","-5,80","0,81",746,"0,00%",531,"1,00","-6,73","1,48","-4,82","-9,29","-11,09%","-12,88%","4,06","-13,66%","-13,98%","2.653.080,00","657.212.000,00","0,29","0,00%"
BAHI3,"13,99","-5,69","1,60",924,"0,00%",414,"-1,69","127,87","-0,69","131,31","19,24","0,72%","-16,47%","0,33","0,35%","-28,19%","74.421,30","142.631.000,00","0,32","78,05%"
CVCB3,"11,82","-5,58","7,08","3,219","0,00%",536,"-7,06","-7,70","-1,66","-7,71","-19,48","-41,81%","-58,93%","0,89","-10,47%","-126,93%","162.651.000,00","375.292.000,00","2,64","-15,79%"
IRBR3,"2,93","-5,44","1,02",465,"0,00%",164,"0,00","-1,85","0,00","0,00","0,00","-25,11%","-8,55%","0,00","0,00%","-18,78%","52.388.900,00","3.634.360.000,00","0,00","-11,91%"
ENJU3,"2,63","-5,01","1,15","4,945","0,00%","1,050","1,26","-4,55","1,29","-0,88","-0,95","-108,60%","-98,77%","12,44","-188,24%","-23,05%","6.892.290,00","450.931.000,00","0,00","0,00%"
TXRX4,"6,72","-4,82","-0,09",192,"0,00%",134,"-0,11","0,97","-0,07","9,50","8,12","19,93%","-3,99%","0,26","20,57%","1,91%","2.246,46","-311.100.000,00","-0,81","15,22%"
TEND3,"8,72","-4,75","0,76",358,"2,04%",205,"0,59","52,38","-2,20","71,49","20,05","0,68%","-7,74%","2,20","0,53%","-15,91%","23.651.500,00","1.203.410.000,00","1,16","16,86%"
CTNM3,"8,01","-4,19","0,30",105,"0,00%",56,"0,84","1,22","-0,24","7,11","4,56","8,62%","-4,23%","1,19","5,43%","-7,26%","1.933,32","806.232.000,00","1,85","-5,64%"
ADHM3,"1,56","-4,09","-1,29","770,924","0,00%","105,126","-1,43","-5,69","-1,27","-5,69","-5,81","-13.548,50%","-18.860,60%","0,00","521,70%","31,47%","2.064,00","-19.776.000,00","0,00","43,48%"
ALPK3,"3,70","-3,47","1,39",927,"0,00%",301,"-1,87","6,66","-0,45","17,58","5,78","13,92%","-26,85%","0,40","4,96%","-40,22%","205.825,00","555.368.000,00","2,46","-12,10%"
CEED4,"45,90","-3,38","-1,02",680,"0,00%",482,"4,83","-16,12","-0,47","-25,08","99,57","-4,22%","-20,14%","1,29","-4,23%","30,24%","333,68","-3.067.670.000,00","-1,02","41,47%"
CEED3,"43,00","-3,16","-0,96",637,"0,00%",452,"4,53","-15,11","-0,44","-24,06","95,53","-4,22%","-20,14%","1,29","-4,23%","30,24%","2.629,17","-3.067.670.000,00","-1,02","41,47%"
BLUT3,"1,21","-2,80","0,41",0,"0,00%",128,"-1,01","-15,01","-0,18","-19,06","-19,06","0,00%","0,00%","0,00","-0,86%","-14,79%","250.599,00","58.673.000,00","0,11","0,00%"
ESTR4,"59,00","-2,46","-0,09",269,"0,00%",174,"-0,09","1,99","-0,08","5,49","5,04","13,52%","-10,91%","0,23","9,42%","3,83%","575,61","-505.460.000,00","-0,17","1,94%"
CRDE3,"16,80","-2,28","0,40","19,619","0,00%",354,"2,92","-4,26","4,34","-2,63","-2,63","-460,70%","-860,99%","2,79","-9,77%","-17,44%","6.409,37","102.494.000,00","0,00","-28,36%"
SHOW3,"3,01","-2,02","1,32","16,965","0,00%",408,"2,14","-3,77","-4,75","-2,56","-2,97","-449,62%","-848,46%","1,46","-20,52%","-65,32%","1.598.570,00","153.907.000,00","0,88","-60,56%"
SGPS3,"4,65","-1,96","0,23",129,"0,00%",71,"0,59","1,88","-0,32","7,73","4,29","6,87%","-6,58%","1,36","4,50%","-11,57%","248.246,00","1.022.990.000,00","0,96","-8,56%"
CTNM4,"3,42","-1,79","0,13",45,"0,00%",24,"0,36","0,52","-0,10","6,41","4,11","8,62%","-4,23%","1,19","5,43%","-7,26%","87.551,90","806.232.000,00","1,85","-5,64%"
OIBR4,"1,33","-1,79","8,27","4,385","0,00%",116,"0,38","-2,51","-0,31","-10,56","-27,35","-174,48%","-245,43%","1,97","-5,08%","-462,73%","2.552.970,00","1.061.810.000,00","29,52","-40,34%"
AZUL4,"21,52","-1,77","-0,41",747,"0,00%",402,"-1,27","6,78","-0,24","26,67","11,08","11,01%","-42,23%","0,50","8,02%","22,98%","239.643.000,00","-18.333.000.000,00","-1,36","0,29%"
VIVR3,"0,89","-1,60","-1,02","1,623","0,00%",368,"-1,37","-2,97","-0,41","-6,34","-6,56","-54,74%","-101,21%","0,64","-15,98%","63,55%","4.528.690,00","-124.814.000,00","-1,69","58,02%"
BLUT4,"0,64","-1,48","0,22",0,"0,00%",68,"-0,53","-7,94","-0,10","-11,99","-11,99","0,00%","0,00%","0,00","-0,86%","-14,79%","602.785,00","58.673.000,00","0,11","0,00%"
AVLL3,"32,49","-1,42","5,38","2,520","0,00%",369,"8,31","-7,40","-0,67","-15,20","-17,29","-34,06%","-135,86%","1,13","-5,78%","-378,12%","64.114,40","135.329.000,00","6,94","0,00%"
TCSA3,"2,98","-1,40","0,34","1,312","0,00%",140,"0,48","-2,68","-1,22","-7,24","-8,18","-48,86%","-94,24%","2,81","-5,96%","-24,10%","2.206.880,00","649.131.000,00","0,86","-7,29%"
BAHI11,"2,70","-1,10","0,31",178,"0,00%",80,"-0,33","24,68","-0,13","28,12","4,12","0,72%","-16,47%","0,33","0,35%","-28,19%","3.013,22","142.631.000,00","0,32","78,05%"
OIBR3,"0,80","-1,08","4,97","2,637","0,00%",70,"0,23","-1,51","-0,19","-9,56","-24,75","-174,48%","-245,43%","1,97","-5,08%","-462,73%","105.060.000,00","1.061.810.000,00","29,52","-40,34%"
PLAS3,"10,48","-1,07","-0,42",213,"0,00%",210,"-0,51","-3,38","-0,18","-8,12","15,91","-6,28%","-19,95%","0,44","-7,21%","39,25%","4.207,76","-311.446.000,00","-0,62","10,19%"
HOOT4,"2,42","-0,96","-0,10","1,340","0,00%",94,"-0,07","-1,51","-0,05","-1,42","-2,26","-88,51%","-139,95%","0,04","-6,40%","9,95%","16.725,50","-466.395.000,00","-0,00","-28,36%"
COGN3,"2,08","-0,85","0,31",909,"0,00%",135,"1,42","-17,95","-0,53","-45,75","17,86","-5,07%","-107,15%","1,54","-0,87%","-36,08%","70.868.700,00","12.679.000.000,00","0,73","-5,62%"
GSHP3,"28,00","-0,85","-0,08",449,"0,00%",31,"1,00","1,35","-0,03","40,15","37,49","33,35%","-52,82%","1,16","2,80%","9,79%","13.689,30","-649.166.000,00","-2,88","-21,01%"
RSID3,"8,05","-0,84","-0,22","2,710","0,00%",127,"-0,13","-2,74","-0,10","-12,81","-13,33","-99,05%","-317,88%","0,27","-4,89%","26,33%","604.008,00","-724.294.000,00","-0,83","-33,46%"
RPMG3,"2,88","-0,79","-0,06",111,"0,00%",48,"-0,07","-0,66","-0,05","-0,66","-0,66","-16,91%","-13,98%","0,56","-7,51%","7,40%","161.205,00","-3.322.860.000,00","0,00","26,14%"
GOLL4,"14,32","-0,79","-0,27",763,"0,00%",394,"-0,68","-1,49","-0,17","-4,43","-6,83","-51,06%","-96,64%","0,24","-32,15%","34,30%","113.865.000,00","-21.053.700.000,00","-0,57","-12,08%"
PMAM3,"7,09","-0,67","-0,39",60,"0,00%",92,"-0,12","-4,15","-0,11","-45,49","47,44","-1,44%","-9,00%","0,34","-2,49%","58,95%","2.639.300,00","-783.935.000,00","-4,08","7,81%"
INEP4,"1,27","-0,62","-0,09","26,312","0,00%",149,"-0,10","-0,81","-0,06","-3,93","-4,18","-3.251,52%","-4.853,00%","0,05","-19,32%","13,86%","1.138.390,00","-2.561.840.000,00","-0,33","-36,42%"
JFEN3,"1,05","-0,62","-0,23","-10,406","0,00%",89,"-0,80","-1,09","-0,14","-6,68","-6,79","958,81%","1.698,50%","0,88","-8,78%","36,81%","411.264,00","-483.667.000,00","-1,22","-18,79%"
INEP3,"1,26","-0,62","-0,09","26,105","0,00%",148,"-0,10","-0,80","-0,06","-3,93","-4,18","-3.251,52%","-4.853,00%","0,05","-19,32%","13,86%","1.198.210,00","-2.561.840.000,00","-0,33","-36,42%"
BBRK3,"0,98","-0,61","1,86",554,"0,00%",451,"-1,94","-5,56","-0,87","-4,12","-14,48","-9,97%","-93,40%","0,50","-9,62%","-302,67%","2.023.490,00","41.469.000,00","0,00","10,30%"
MTIG4,"40,25","-0,61","-0,26",131,"0,00%",114,"-0,29","-0,67","-0,13","-5,82","-7,85","-19,45%","-21,37%","0,58","-20,26%","42,43%","4.772,22","-37.389.400,00","-2,00","-13,21%"
ATMP3,"2,17","-0,57","0,30",55,"0,00%",34,"-0,13","-3,67","-0,05","-21,45","2,51","-1,50%","-9,72%","0,44","-1,08%","-53,16%","114.076,00","192.398.000,00","1,66","-15,23%"
IGBR3,"41,32","-0,56","-0,05","10,359","0,00%",399,"-0,12","-0,55","-0,05","-6,06","-6,21","-1.890,19%","-1.844,22%","0,03","-79,97%","8,96%","1.203.640,00","-1.026.000.000,00","-0,51","-4,15%"
BDLL3,"10,50","-0,44","-0,09","1,537","0,00%",25,"-0,06","-0,56","-0,03","-8,66","-10,52","-275,76%","-350,37%","0,50","-5,36%","20,50%","4.428,12","-186.846.000,00","-1,31","-47,59%"
BDLL4,"10,00","-0,42","-0,09","1,464","0,00%",24,"-0,06","-0,53","-0,03","-8,63","-10,49","-275,76%","-350,37%","0,50","-5,36%","20,50%","8.133,98","-186.846.000,00","-1,31","-47,59%"
SNSY5,"4,28","-0,29","-0,02",44,"0,00%",73,"-0,60","-5,02","-0,02","-22,63","13,61","-0,88%","-15,38%","0,83","-1,79%","7,63%","16.169,10","-1.477.480.000,00","-0,09","16,26%"
PDGR3,"1,20","-0,17","-0,01",168,"0,00%",48,"-0,03","-1,44","-0,01","-23,54","-24,41","-11,70%","-98,48%","0,29","-4,57%","7,38%","1.645.410,00","-5.499.090.000,00","-0,21","-6,37%"
SLED3,"13,48","-0,12","-0,04",231,"0,00%",87,"-0,31","-0,48","-0,03","-6,00","-10,48","-48,25%","-197,16%","0,54","-26,49%","37,60%","280.269,00","-553.939.000,00","-0,51","-51,11%"
TEKA3,"26,10","-0,11","-0,01",61,"0,00%",13,"-0,01","64,67","-0,00","2.879,80","129,57","0,09%","-56,45%","0,04","0,03%","6,79%","127,32","-1.777.870.000,00","-0,32","8,97%"
SLED4,"6,99","-0,06","-0,02",120,"0,00%",45,"-0,16","-0,25","-0,02","-5,77","-10,08","-48,25%","-197,16%","0,54","-26,49%","37,60%","1.019.830,00","-553.939.000,00","-0,51","-51,11%"
LLIS3,"1,41","-0,05","0,73",123,"0,00%",46,"1,43","-0,52","-0,07","-9,23","-55,54","-23,71%","-61,91%","1,16","-9,73%","-1.386,10%","1.010.720,00","133.566.000,00","12,68","-14,78%"
OSXB3,"6,51","-0,05","-0,00",972,"0,00%",9,"-0,04","-0,25","-0,00","-57,27","-70,74","-387,68%","-1.816,52%","0,02","-3,83%","7,67%","134.971,00","-5.201.600.000,00","-0,90","24,51%"
TEKA4,"8,38","-0,03","-0,00",20,"0,00%",4,"-0,00","20,76","-0,00","2.835,89","127,59","0,09%","-56,45%","0,04","0,03%","6,79%","14.042,70","-1.777.870.000,00","-0,32","8,97%"
HETA4,"7,46","-0,02","-0,01","1,639","0,00%",329,"-0,05","5,79","-0,01","499,83","499,83","28,29%","-7.526,18%","0,01","5,69%","31,35%","35.748,80","-557.401.000,00","-0,58","-5,46%"
ARML3,"14,84","0,00","4,63",0,"0,00%","2,619","6,20","0,00","27,22","0,00","0,00","0,00%","0,00%","4,93","0,00%","0,00%","13.882.300,00","1.108.480.000,00","0,65","0,00%"
BRIT3,"3,60","0,00","1,21",0,"0,00%",594,"1,76","0,00","35,04","0,00","0,00","0,00%","0,00%","2,81","0,00%","0,00%","2.334.790,00","1.341.070.000,00","0,83","0,00%"
CLSA3,"7,42","0,00","1,78",0,"0,00%","1,386","1,78","0,00","2,01","0,00","0,00","0,00%","0,00%","6,94","0,00%","0,00%","18.826.300,00","785.018.000,00","0,15","0,00%"
DESK3,"13,92","0,00","1,39",0,"0,00%",843,"2,39","0,00","11,12","0,00","0,00","0,00%","0,00%","4,14","0,00%","0,00%","6.110.630,00","868.497.000,00","0,45","0,00%"
DOTZ3,"1,97","0,00","-5,01",0,"0,00%",647,"9,31","0,00","-2,33","0,00","0,00","0,00%","0,00%","1,09","0,00%","0,00%","252.889,00","-51.891.000,00","-0,51","0,00%"
FIQE3,"5,00","0,00","1,84",0,"0,00%","1,130","2,77","0,00","6,23","0,00","0,00","0,00%","0,00%","3,57","0,00%","0,00%","3.232.970,00","984.998.000,00","0,29","0,00%"
IFCM3,"15,11","0,00","4,62",0,"0,00%","2,831","8,97","0,00","13,34","0,00","0,00","0,00%","0,00%","2,11","0,00%","0,00%","12.400.400,00","921.548.000,00","0,11","0,00%"
KRSA3,"2,51","0,00","1,56",0,"0,00%",510,"3,47","0,00","-1,41","0,00","0,00","0,00%","0,00%","1,92","0,00%","0,00%","1.153.340,00","1.234.890.000,00","1,29","0,00%"
MATD3,"15,66","0,00","3,91",0,"0,00%","2,391","4,18","0,00","8,09","0,00","0,00","0,00%","0,00%","6,09","0,00%","0,00%","9.538.310,00","1.531.620.000,00","0,17","0,00%"
MLAS3,"5,08","0,00","1,07",0,"0,00%",550,"0,99","0,00","1,25","0,00","0,00","0,00%","0,00%","2,50","0,00%","0,00%","11.197.600,00","3.910.490.000,00","0,28","0,00%"
NINJ3,"3,73","0,00","0,64",0,"0,00%",588,"0,65","0,00","0,65","0,00","0,00","0,00%","0,00%","11,61","0,00%","0,00%","2.015.930,00","291.485.000,00","0,00","0,00%"
ONCO3,"9,21","0,00","2,63",0,"0,00%",918,"2,98","0,00","-14,73","0,00","0,00","0,00%","0,00%","2,38","0,00%","0,00%","10.141.400,00","1.734.180.000,00","0,91","0,00%"
PORT3,"54,92","0,00","1,90",0,"0,00%",755,"33,58","0,00","-1,64","0,00","0,00","0,00%","0,00%","1,19","0,00%","0,00%","3.546.220,00","2.111.470.000,00","1,22","0,00%"
RECV3,"19,80","0,00","2,66",0,"0,00%","1,486","6,88","0,00","-56,57","0,00","0,00","0,00%","0,00%","2,08","0,00%","0,00%","19.103.400,00","1.849.310.000,00","0,43","0,00%"
TRAD3,"3,86","0,00","1,71",0,"0,00%","1,610","2,13","0,00","2,15","0,00","0,00","0,00%","0,00%","15,74","0,00%","0,00%","12.457.700,00","635.506.000,00","0,01","0,00%"
MWET4,"15,00","0,18","-0,64",136,"0,00%",134,"16,99","7,61","-0,17","21,07","10,38","1,78%","75,13%","1,02","1,99%","-356,36%","74.968,90","-48.018.000,00","-1,14","14,21%"
MWET3,"20,50","0,25","-0,88",185,"0,00%",183,"23,22","10,40","-0,23","23,86","11,75","1,78%","75,13%","1,02","1,99%","-356,36%","408,68","-48.018.000,00","-1,14","14,21%"
MGEL4,"13,44","0,37","-0,29",95,"0,00%",131,"0,35","0,78","-0,16","7,37","6,19","12,21%","25,79%","2,44","22,45%","-77,44%","31.039,30","-271.646.000,00","-2,75","14,84%"
CEBR3,"13,56","0,62","0,51","-1,141","139,85%",440,"0,61","5,62","0,62","-2,98","-2,84","-20,31%","-189,71%","22,04","24,48%","83,39%","40.712,60","1.903.810.000,00","0,00","-25,98%"
CEBR6,"13,72","0,62","0,52","-1,154","152,04%",445,"0,62","5,68","0,62","-2,91","-2,77","-20,31%","-189,71%","22,04","24,48%","83,39%","139.726,00","1.903.810.000,00","0,00","-25,98%"
CEBR5,"13,81","0,63","0,52","-1,162","137,32%",448,"0,62","5,72","0,63","-2,87","-2,74","-20,31%","-189,71%","22,04","24,48%","83,39%","10.554,00","1.903.810.000,00","0,00","-25,98%"
SYNE3,"6,24","0,74","0,57",413,"1,26%",195,"1,62","0,61","-0,79","1,16","1,10","68,00%","60,89%","2,78","37,95%","77,27%","4.191.140,00","1.665.290.000,00","0,96","38,79%"
GPIV33,"5,02","0,75","0,28",435,"0,00%",134,"0,52","0,46","1,16","-0,40","-0,40","93,68%","86,75%","6,79","40,09%","37,61%","325.290,00","1.965.900.000,00","0,06","55,19%"
CTKA4,"9,73","1,14","-0,41",121,"0,00%",101,"0,31","1,24","-0,18","11,67","9,27","9,73%","10,63%","1,92","9,92%","-36,01%","66.846,40","-147.222.000,00","-3,71","11,99%"
TPIS3,"1,89","1,14","0,36",316,"2,18%",103,"-0,95","-16,50","-0,16","-96,39","4,66","-1,92%","27,01%","0,38","-0,66%","31,19%","1.784.350,00","932.497.000,00","1,83","-9,60%"
LUPA3,"4,98","1,50","1,09","1,781","0,00%",284,"0,86","-9,63","-1,16","-17,71","-27,23","-18,50%","118,45%","2,96","-3,13%","72,63%","7.873.580,00","133.184.000,00","1,04","-8,92%"
BRKM6,"26,70","1,52","2,71",202,"2,27%",230,"1,51","0,78","-0,45","1,62","1,41","25,74%","13,22%","1,56","39,78%","177,79%","3.389,32","7.865.820.000,00","4,45","16,59%"
RNEW4,"1,69","1,60","-0,22","2,166","0,00%",70,"0,52","-2,44","-0,08","-23,36","-24,77","-88,73%","135,64%","1,43","-3,27%","-13,99%","427.838,00","-828.222.000,00","-2,21","-50,33%"
