PAPEL,COTACAO,P/L,P/VP,PSR,DIV_YIELD,P/ATIVO,P/CAP_GIRO,P/EBIT,P/ATIV_CIRC_LIQ,EV/EBIT,EV/EBITDA,MRG_EBIT,MRG_LIQ,LIQ_CORR,ROIC,ROE,LIQ_2MESES,PATRIM_LIQ,DIV_BRUT/PATRIM,CRESC_REC_5A,SETOR
RRRP3,33.96,-7602.28,1.67,9.453,0.0,1.262,3.21,27.67,4.79,17.77,12.08,0.3417,0.022000000000000002,4.79,0.086,-0.0002,198165000.0,4107890000.0,0.01,2.5632,Petroleo
CASH3,2.02,-338.85,2.27,7.791,0.0029,1.965,2.75,-178.61,3.1,-116.04,-175.74,-0.0436,-0.0115,21.09,-0.0363,-0.0067,114453000.0,713849000.0,0.0,0.0,Serviços
GEPA4,28.9,-310.13,1.43,2.026,0.1017,688.0,-4.71,15.8,-1.66,22.21,10.59,0.1283,-0.006500000000000001,0.42,0.053399999999999996,-0.0046,18896.5,1907660000.0,0.68,-0.005699999999999999,Energia
GEPA3,28.0,-300.47,1.39,1.963,0.105,667.0,-4.56,15.3,-1.61,21.72,10.36,0.1283,-0.006500000000000001,0.42,0.053399999999999996,-0.0046,6217.2,1907660000.0,0.68,-0.005699999999999999,Energia
FRTA3,4.66,-62.55,-0.15,552.0,0.0,282.0,-0.12,-35.31,-0.1,-261.65,-261.65,-0.015600000000000001,-0.0088,0.06,-0.0096,0.0024,7751.85,-64752000.0,-0.96,-0.2776,Agro
OPCT3,3.1,-20.53,0.7,932.0,0.0,310.0,1.74,235.34,-1.44,384.48,8.92,0.004,-0.0176,2.06,0.0018,-0.034300000000000004,3243740.0,880290000.0,0.98,0.0,Petroleo
WEST3,2.04,-7.31,0.57,740.0,0.0,426.0,0.71,-3.95,0.82,0.9,0.9,-0.1873,-0.1013,4.48,-0.34,-0.0775,2282160.0,396627000.0,0.09,0.0,Serviços
MBLY3,5.0,-5.8,0.81,746.0,0.0,531.0,1.0,-6.73,1.48,-4.82,-9.29,-0.1109,-0.1288,4.06,-0.1366,-0.1398,2653080.0,657212000.0,0.29,0.0,Serviços
IRBR3,2.93,-5.44,1.02,465.0,0.0,164.0,0.0,-1.85,0.0,0.0,0.0,-0.2511,-0.0855,0.0,0.0,-0.18780000000000002,52388900.0,3634360000.0,0.0,-0.1191,Seguros
ENJU3,2.63,-5.01,1.15,4.945,0.0,1.05,1.26,-4.55,1.29,-0.88,-0.95,-1.0859999999999999,-0.9876999999999999,12.44,-1.8824,-0.2305,6892290.0,450931000.0,0.0,0.0,Serviços
TEND3,8.72,-4.75,0.76,358.0,0.0204,205.0,0.59,52.38,-2.2,71.49,20.05,0.0068000000000000005,-0.0774,2.2,0.0053,-0.1591,23651500.0,1203410000.0,1.16,0.1686,Construção
CEED4,45.9,-3.38,-1.02,680.0,0.0,482.0,4.83,-16.12,-0.47,-25.08,99.57,-0.042199999999999994,-0.2014,1.29,-0.042300000000000004,0.3024,333.68,-3067670000.0,-1.02,0.4147,Energia
CEED3,43.0,-3.16,-0.96,637.0,0.0,452.0,4.53,-15.11,-0.44,-24.06,95.53,-0.042199999999999994,-0.2014,1.29,-0.042300000000000004,0.3024,2629.17,-3067670000.0,-1.02,0.4147,Energia
CRDE3,16.8,-2.28,0.4,19.619,0.0,354.0,2.92,-4.26,4.34,-2.63,-2.63,-4.607,-8.6099,2.79,-0.0977,-0.1744,6409.37,102494000.0,0.0,-0.2836,Construção
VIVR3,0.89,-1.6,-1.02,1.623,0.0,368.0,-1.37,-2.97,-0.41,-6.34,-6.56,-0.5474,-1.0121,0.64,-0.1598,0.6355,4528690.0,-124814000.0,-1.69,0.5802,Construção
AVLL3,32.49,-1.42,5.38,2.52,0.0,369.0,8.31,-7.4,-0.67,-15.2,-17.29,-0.3406,-1.3586,1.13,-0.057800000000000004,-3.7812,64114.4,135329000.0,6.94,0.0,Construção
TCSA3,2.98,-1.4,0.34,1.312,0.0,140.0,0.48,-2.68,-1.22,-7.24,-8.18,-0.4886,-0.9423999999999999,2.81,-0.0596,-0.24100000000000002,2206880.0,649131000.0,0.86,-0.0729,Construção
RSID3,8.05,-0.84,-0.22,2.71,0.0,127.0,-0.13,-2.74,-0.1,-12.81,-13.33,-0.9904999999999999,-3.1788,0.27,-0.0489,0.2633,604008.0,-724294000.0,-0.83,-0.3346,Construção
RPMG3,2.88,-0.79,-0.06,111.0,0.0,48.0,-0.07,-0.66,-0.05,-0.66,-0.66,-0.1691,-0.1398,0.56,-0.0751,0.07400000000000001,161205.0,-3322860000.0,0.0,0.2614,Petroleo
JFEN3,1.05,-0.62,-0.23,-10.406,0.0,89.0,-0.8,-1.09,-0.14,-6.68,-6.79,9.588099999999999,16.985,0.88,-0.08779999999999999,0.36810000000000004,411264.0,-483667000.0,-1.22,-0.18789999999999998,Construção
PDGR3,1.2,-0.17,-0.01,168.0,0.0,48.0,-0.03,-1.44,-0.01,-23.54,-24.41,-0.11699999999999999,-0.9848,0.29,-0.045700000000000005,0.0738,1645410.0,-5499090000.0,-0.21,-0.0637,Construção
OSXB3,6.51,-0.05,-0.0,972.0,0.0,9.0,-0.04,-0.25,-0.0,-57.27,-70.74,-3.8768000000000002,-18.1652,0.02,-0.0383,0.0767,134971.0,-5201600000.0,-0.9,0.2451,Petroleo
IFCM3,15.11,0.0,4.62,0.0,0.0,2.831,8.97,0.0,13.34,0.0,0.0,0.0,0.0,2.11,0.0,0.0,12400400.0,921548000.0,0.11,0.0,Serviços
NINJ3,3.73,0.0,0.64,0.0,0.0,588.0,0.65,0.0,0.65,0.0,0.0,0.0,0.0,11.61,0.0,0.0,2015930.0,291485000.0,0.0,0.0,Serviços
RECV3,19.8,0.0,2.66,0.0,0.0,1.486,6.88,0.0,-56.57,0.0,0.0,0.0,0.0,2.08,0.0,0.0,19103400.0,1849310000.0,0.43,0.0,Petroleo
TRAD3,3.86,0.0,1.71,0.0,0.0,1.61,2.13,0.0,2.15,0.0,0.0,0.0,0.0,15.74,0.0,0.0,12457700.0,635506000.0,0.01,0.0,Serviços
CEBR3,13.56,0.62,0.51,-1.141,1.3984999999999999,440.0,0.61,5.62,0.62,-2.98,-2.84,-0.20309999999999997,-1.8971,22.04,0.24480000000000002,0.8339,40712.6,1903810000.0,0.0,-0.25980000000000003,Energia
CEBR6,13.72,0.62,0.52,-1.154,1.5204,445.0,0.62,5.68,0.62,-2.91,-2.77,-0.20309999999999997,-1.8971,22.04,0.24480000000000002,0.8339,139726.0,1903810000.0,0.0,-0.25980000000000003,Energia
CEBR5,13.81,0.63,0.52,-1.162,1.3732,448.0,0.62,5.72,0.63,-2.87,-2.74,-0.20309999999999997,-1.8971,22.04,0.24480000000000002,0.8339,10554.0,1903810000.0,0.0,-0.25980000000000003,Energia
LUPA3,4.98,1.5,1.09,1.781,0.0,284.0,0.86,-9.63,-1.16,-17.71,-27.23,-0.185,1.1845,2.96,-0.0313,0.7263,7873580.0,133184000.0,1.04,-0.0892,Petroleo
RNEW4,1.69,1.6,-0.22,2.166,0.0,70.0,0.52,-2.44,-0.08,-23.36,-24.77,-0.8873000000000001,1.3563999999999998,1.43,-0.0327,-0.1399,427838.0,-828222000.0,-2.21,-0.5033,Energia
RNEW11,5.14,1.62,-0.23,2.196,0.0,71.0,0.53,-2.48,-0.08,-23.39,-24.81,-0.8873000000000001,1.3563999999999998,1.43,-0.0327,-0.1399,60718.7,-828222000.0,-2.21,-0.5033,Energia
RNEW3,1.82,1.72,-0.24,2.333,0.0,75.0,0.56,-2.63,-0.09,-23.55,-24.97,-0.8873000000000001,1.3563999999999998,1.43,-0.0327,-0.1399,194664.0,-828222000.0,-2.21,-0.5033,Energia
CPLE3,6.35,3.07,0.81,760.0,0.1875,349.0,7.93,4.45,-1.09,5.89,4.65,0.1707,0.2525,1.22,0.09269999999999999,0.2626,7284540.0,21564100000.0,0.49,0.127,Energia
CPLE11,35.32,3.41,0.9,845.0,0.0,388.0,8.82,4.95,-1.22,6.39,5.04,0.1707,0.2525,1.22,0.09269999999999999,0.2626,15554000.0,21564100000.0,0.49,0.127,Energia
PLPL3,2.65,3.44,1.65,434.0,0.0739,459.0,0.59,1.56,2.3,1.85,1.77,0.2777,0.1259,6.4,0.39049999999999996,0.479,2444440.0,328039000.0,0.98,0.0,Construção
CESP6,22.1,3.47,0.97,3.359,0.09820000000000001,498.0,25.06,6.11,-1.21,7.4,5.51,0.5497,0.9693,1.37,0.0849,0.27899999999999997,50986400.0,7485270000.0,0.26,0.1003,Energia
CPLE6,7.19,3.47,0.91,860.0,0.1821,395.0,8.98,5.04,-1.24,6.47,5.11,0.1707,0.2525,1.22,0.09269999999999999,0.2626,80622500.0,21564100000.0,0.49,0.127,Energia
CESP3,22.23,3.49,0.97,3.379,0.1323,501.0,25.21,6.15,-1.22,7.44,5.53,0.5497,0.9693,1.37,0.0849,0.27899999999999997,91909.9,7485270000.0,0.26,0.1003,Energia
CESP5,22.5,3.53,0.98,3.42,0.034300000000000004,507.0,25.52,6.22,-1.23,7.51,5.59,0.5497,0.9693,1.37,0.0849,0.27899999999999997,8712.93,7485270000.0,0.26,0.1003,Energia
JHSF3,5.36,3.67,0.82,1.832,0.1036,437.0,3.07,3.24,-2.02,4.21,4.01,0.5655,0.4888,2.42,0.1507,0.2248,31716600.0,4464560000.0,0.44,0.5434,Construção
PETR4,30.83,3.77,1.04,888.0,0.1833,413.0,12.06,2.11,-0.97,3.51,2.57,0.4208,0.237,1.25,0.2164,0.2754,2432040000.0,387329000000.0,0.85,0.0707,Petroleo
DMMO3,1.0,3.79,-0.74,3.216,0.0,2.342,-4.24,9.41,-0.62,9.14,6.25,0.3417,0.8495,0.41,0.38439999999999996,-0.1949,18940500.0,-690833000.0,-0.0,-0.1902,Petroleo
CLSC3,58.01,3.97,0.85,197.0,0.0741,187.0,4.63,3.15,-0.4,4.81,3.57,0.06269999999999999,0.049699999999999994,1.15,0.0709,0.2148,14379.9,2621370000.0,0.77,0.11449999999999999,Energia
HBOR3,3.23,4.08,0.32,430.0,0.0147,102.0,0.24,6.07,0.91,18.48,14.92,0.071,0.16879999999999998,2.76,0.018600000000000002,0.07919999999999999,4393030.0,1338550000.0,0.93,0.2527,Construção
PETR3,33.76,4.13,1.14,973.0,0.1674,453.0,13.21,2.31,-1.06,3.71,2.71,0.4208,0.237,1.25,0.2164,0.2754,684660000.0,387329000000.0,0.85,0.0707,Petroleo
CLSC4,61.98,4.25,0.91,211.0,0.07629999999999999,200.0,4.94,3.36,-0.43,5.02,3.73,0.06269999999999999,0.049699999999999994,1.15,0.0709,0.2148,404167.0,2621370000.0,0.77,0.11449999999999999,Energia
LIGT3,8.98,4.41,0.38,221.0,0.049100000000000005,123.0,0.76,1.79,-0.34,5.63,4.19,0.12359999999999999,0.050199999999999995,2.05,0.08529999999999999,0.0868,24055200.0,8749760000.0,1.22,0.0758,Energia
AGRO3,32.09,4.76,1.34,1.724,0.0817,905.0,2.75,4.07,5.43,3.93,3.46,0.4232,0.36219999999999997,3.04,0.31829999999999997,0.2815,25057100.0,2451480000.0,0.32,0.5086999999999999,Agro
NEOE3,15.54,4.81,0.79,437.0,0.0282,220.0,10.25,2.13,-0.47,5.85,4.77,0.20550000000000002,0.0942,1.09,0.1188,0.1643,15808400.0,23886000000.0,1.62,0.18489999999999998,Energia
CMIG4,12.73,5.23,1.06,699.0,0.0924,406.0,7.8,4.21,-1.1,5.81,4.85,0.16579999999999998,0.1336,1.26,0.10980000000000001,0.2034,99424700.0,20262200000.0,0.56,0.0989,Energia
ENGI4,7.15,5.33,1.48,507.0,0.1105,251.0,4.25,2.88,-0.47,6.57,5.14,0.17579999999999998,0.10460000000000001,1.28,0.1012,0.2784,180852.0,8748260000.0,2.4,0.1679,Energia
CEPE6,27.0,5.36,1.1,237.0,0.1009,155.0,3.71,1.81,-0.29,7.22,5.49,0.1309,0.044199999999999996,1.15,0.09849999999999999,0.2052,5094.83,1832000000.0,3.66,0.12050000000000001,Energia
CSRN3,17.0,5.36,1.89,790.0,0.12029999999999999,550.0,-25.51,3.93,-1.29,6.64,5.62,0.2011,0.1474,0.93,0.1545,0.35229999999999995,23325.7,1513000000.0,1.42,0.1257,Energia
CSRN5,17.0,5.36,1.89,790.0,0.1324,550.0,-25.51,3.93,-1.29,6.64,5.62,0.2011,0.1474,0.93,0.1545,0.35229999999999995,333.05,1513000000.0,1.42,0.1257,Energia
TRPL4,24.73,5.4,1.13,2.944,0.1125,562.0,6.47,4.12,-1.56,5.72,5.69,0.7142000000000001,0.5489,3.05,0.1422,0.2096,38597800.0,14399200000.0,0.52,0.1716,Energia
LAVV3,4.69,5.49,0.83,1.603,0.1494,558.0,1.25,5.69,1.53,2.98,2.97,0.28190000000000004,0.3353,3.17,0.1351,0.1509,4632960.0,1178130000.0,0.0,0.7731,Construção
CEEB3,34.99,5.49,1.48,643.0,0.17420000000000002,376.0,14.49,3.08,-0.73,6.69,5.45,0.2084,0.11699999999999999,1.13,0.1325,0.2702,18771.3,6176000000.0,1.85,0.1414,Energia
VBBR3,21.85,5.51,2.26,221.0,0.09269999999999999,861.0,2.79,8.09,-8.29,10.88,9.24,0.0273,0.0401,2.49,0.1283,0.4093,191952000.0,11287000000.0,0.96,0.0395,Petroleo
CEPE5,28.0,5.56,1.14,246.0,0.0885,161.0,3.85,1.88,-0.3,7.29,5.55,0.1309,0.044199999999999996,1.15,0.09849999999999999,0.2052,5874.37,1832000000.0,3.66,0.12050000000000001,Energia
AFLT3,9.15,5.78,2.33,4.797,0.0689,2.092,11.44,5.59,17.81,5.43,5.42,0.858,0.8295,5.86,0.4105,0.4032,7216.9,247518000.0,0.0,0.3935,Energia
ENBR3,21.54,5.8,1.12,663.0,0.0719,375.0,4.34,3.68,-1.12,6.0,4.9,0.1802,0.12539999999999998,1.41,0.1184,0.1937,72254500.0,11151400000.0,0.95,0.0968,Energia
MDNE3,5.7,5.83,0.45,781.0,0.0,180.0,0.86,5.48,-1.23,4.8,4.58,0.1426,0.1371,1.85,0.0363,0.07719999999999999,1448150.0,1074620000.0,0.12,0.0395,Construção
EMAE4,40.5,6.03,1.85,3.009,0.045899999999999996,951.0,3.64,8.33,-6.49,6.68,6.48,0.3614,0.49920000000000003,4.29,0.1419,0.30760000000000004,512459.0,807010000.0,0.0,0.2811,Energia
CYRE3,14.97,6.25,0.97,1.321,0.0726,455.0,1.16,7.72,8.23,9.26,8.74,0.1711,0.22920000000000001,3.41,0.0723,0.15460000000000002,116298000.0,6198680000.0,0.55,0.14980000000000002,Construção
CSRN6,19.89,6.27,2.21,925.0,0.1131,644.0,-29.85,4.6,-1.51,7.31,6.18,0.2011,0.1474,0.93,0.1545,0.35229999999999995,574.93,1513000000.0,1.42,0.1257,Energia
MRVE3,10.63,6.38,0.84,722.0,0.0407,254.0,0.94,7.39,-1.22,13.55,11.43,0.0977,0.1268,2.4,0.0375,0.1315,75133000.0,6119510000.0,0.86,0.10619999999999999,Construção
CSAN3,20.95,6.41,2.66,1.576,0.0301,401.0,2.74,11.0,-0.94,20.18,12.44,0.1433,0.255,2.11,0.0455,0.4154,170420000.0,14740900000.0,3.32,0.3004,Petroleo
TAEE3,13.74,6.41,2.12,4.09,0.1093,893.0,19.78,5.32,-2.01,7.73,7.67,0.7683,0.6376,1.51,0.1734,0.3312,1073820.0,6684760000.0,1.02,0.3661,Energia
TAEE11,41.35,6.43,2.13,4.103,0.10890000000000001,896.0,19.84,5.34,-2.01,7.75,7.68,0.7683,0.6376,1.51,0.1734,0.3312,106474000.0,6684760000.0,1.02,0.3661,Energia
TAEE4,13.79,6.44,2.13,4.105,0.10890000000000001,897.0,19.85,5.34,-2.01,7.75,7.68,0.7683,0.6376,1.51,0.1734,0.3312,2210110.0,6684760000.0,1.02,0.3661,Energia
ENGI11,43.41,6.47,1.8,615.0,0.091,305.0,5.16,3.5,-0.57,7.18,5.63,0.17579999999999998,0.10460000000000001,1.28,0.1012,0.2784,85084400.0,8748260000.0,2.4,0.1679,Energia
WIZS3,7.62,6.48,3.88,1.492,0.0799,561.0,-5.1,3.34,-1.45,2.73,2.53,0.44630000000000003,0.252,0.69,0.2151,0.5993999999999999,12504000.0,313684000.0,0.73,0.12560000000000002,Seguros
TRIS3,4.22,6.53,0.64,1.017,0.0571,337.0,0.7,5.22,1.57,6.91,6.85,0.1949,0.1705,3.51,0.0791,0.0987,8360710.0,1221100000.0,0.53,0.17350000000000002,Construção
ENAT3,20.33,6.82,1.56,4.14,0.0095,932.0,2.64,14.77,9.75,10.65,3.82,0.2803,0.6067,3.47,0.11349999999999999,0.2284,34601100.0,3467240000.0,0.26,0.3068,Petroleo
